unix_time_s,cpu_percent,mem_used_mb,mem_available_mb
1784377360.294,0.76,603.05,3313.56
1784377361.296,0.51,602.99,3313.62
1784377362.298,0.51,602.99,3313.62
1784377363.300,0.51,602.99,3313.62
1784377364.301,0.76,602.97,3313.64
1784377365.303,0.51,602.97,3313.64
1784377366.304,0.76,602.97,3313.64
1784377367.306,1.01,602.97,3313.64
1784377368.307,0.51,602.97,3313.64
1784377369.309,1.26,602.97,3313.64
1784377370.311,0.00,602.93,3313.68
1784377371.312,1.01,602.93,3313.68
1784377372.314,0.76,602.93,3313.68
1784377373.316,0.51,602.93,3313.68
1784377374.317,0.76,602.93,3313.68
1784377375.318,1.26,602.88,3313.73
1784377375.686,0.51,602.88,3313.73
1784377376.687,3.45,602.88,3313.73
1784377377.688,2.24,602.88,3313.73
1784377378.690,3.47,602.88,3313.73
1784377379.691,2.01,602.88,3313.73
1784377380.693,2.24,602.88,3313.73
1784377381.695,2.74,602.88,3313.73
1784377382.697,1.75,602.88,3313.73
1784377383.699,3.22,602.88,3313.73
1784377384.700,2.24,602.88,3313.73
1784377385.702,2.49,602.88,3313.73
1784377386.703,2.73,602.88,3313.73
1784377387.704,2.25,602.88,3313.73
1784377388.706,2.74,602.88,3313.73
1784377389.708,1.51,602.84,3313.77
1784377390.709,3.22,602.64,3313.98
1784377391.711,1.75,602.64,3313.98
1784377392.713,2.49,602.64,3313.98
1784377393.714,2.98,602.64,3313.98
1784377394.716,2.24,602.64,3313.98
1784377395.718,1.76,602.64,3313.98
1784377396.720,2.97,602.64,3313.98
1784377397.721,3.22,602.64,3313.98
1784377398.723,1.51,602.64,3313.98
1784377399.725,2.97,602.64,3313.98
1784377400.727,2.98,602.62,3313.99
1784377401.728,2.24,602.62,3313.99
1784377402.730,3.22,602.62,3313.99
1784377403.731,2.49,602.62,3313.99
1784377404.732,2.50,602.62,3313.99
1784377405.734,2.98,602.87,3313.74
1784377406.736,1.76,602.87,3313.74
1784377407.108,3.45,602.80,3313.81
1784377408.110,2.72,602.80,3313.81
1784377409.112,5.33,602.80,3313.81
1784377410.113,4.40,602.80,3313.81
1784377411.115,4.63,602.80,3313.81
1784377412.117,5.56,602.80,3313.81
1784377413.119,5.11,602.78,3313.84
1784377414.121,2.99,602.75,3313.87
1784377415.122,5.78,602.75,3313.87
1784377416.123,5.34,602.75,3313.87
1784377417.125,3.93,602.75,3313.87
1784377418.126,7.13,602.75,3313.87
1784377419.127,4.87,602.75,3313.87
1784377420.129,5.10,602.73,3313.89
1784377421.130,5.33,602.73,3313.89
1784377422.131,4.87,602.73,3313.89
1784377423.133,6.24,602.73,3313.89
1784377424.135,4.65,602.73,3313.89
1784377425.136,6.24,602.58,3314.04
1784377426.138,6.02,602.55,3314.07
1784377427.140,5.54,602.55,3314.07
1784377428.141,5.10,602.55,3314.07
1784377429.143,5.34,602.55,3314.07
1784377430.145,5.33,602.53,3314.08
1784377431.147,6.01,602.53,3314.08
1784377432.149,4.17,602.53,3314.08
1784377433.150,5.34,602.53,3314.08
1784377434.152,5.34,602.53,3314.08
1784377435.153,6.01,602.53,3314.08
1784377436.155,6.24,602.53,3314.08
1784377437.158,4.85,602.53,3314.08
1784377438.160,4.40,602.53,3314.08
1784377439.162,4.65,602.50,3314.11
1784377439.532,1.00,602.50,3314.11
1784377440.534,0.76,602.50,3314.11
1784377441.536,0.51,602.50,3314.11
1784377442.539,3.55,582.50,3334.11
1784377443.541,0.51,582.41,3334.20
1784377444.543,0.25,582.41,3334.20
1784377445.545,0.76,582.35,3334.26
