wsl_unix_time_s,connected,rx_count,crc_errors,last_rtt_ms,estimated_one_way_ms,wall_clock_delta_ms,last_state_age_s,scan_count_this_window,odom_count_this_window,nonzero_cmd_vel_count_this_window
1784377187.122,True,19808,0,110.02887699987696,55.01443849993848,34.88564491271973,0.03652477264404297,10,10,0
1784377188.121,True,19817,0,7.558062000043719,3.7790310000218597,50.051212310791016,0.08438873291015625,9,9,0
1784377189.122,True,19827,0,7.112318000054074,3.556159000027037,65.21058082580566,0.024057626724243164,10,10,0
1784377190.122,True,19836,0,107.79132099969502,53.89566049984751,79.24556732177734,0.040374040603637695,9,9,0
1784377191.122,True,19845,0,11.848925999856874,5.924462999928437,92.4985408782959,0.08530092239379883,9,9,0
1784377192.122,True,19855,0,11.210440000013477,5.605220000006739,108.60848426818848,0.019201278686523438,10,9,0
1784377193.122,True,19864,0,116.46536600028412,58.23268300014206,122.14040756225586,0.05884838104248047,9,10,0
1784377194.122,True,19873,0,16.956616999777907,8.478308499888954,134.81497764587402,0.09476447105407715,9,9,0
1784377195.122,True,19883,0,5.793956000161415,2.8969780000807077,149.89662170410156,0.03365302085876465,10,10,0
1784377196.122,True,19892,0,5.741430999933073,2.8707154999665363,177.43444442749023,0.07219481468200684,9,9,0
1784377197.123,True,19902,0,6.005243000345217,3.0026215001726086,210.58964729309082,0.0022335052490234375,10,10,0
1784377198.122,True,19911,0,6.379287000072509,3.1896435000362544,241.30582809448242,0.02817702293395996,9,9,0
1784377199.122,True,19920,0,6.003592000070057,3.0017960000350286,270.45321464538574,0.06551074981689453,9,9,0
1784377200.122,True,19929,0,109.96573200009152,54.98286600004576,300.8096218109131,0.09970784187316895,9,9,0
1784377201.122,True,19939,0,5.052475999946182,2.526237999973091,327.61335372924805,0.028042078018188477,10,10,0
1784377202.122,True,19948,0,108.4301040000355,54.21505200001775,346.9357490539551,0.0660712718963623,9,9,0
1784377203.123,True,19958,0,5.324943000232452,2.662471500116226,366.67370796203613,0.008745431900024414,10,9,0
1784377204.122,True,19967,0,5.801379999866185,2.9006899999330926,385.6658935546875,0.05067873001098633,9,10,0
1784377205.122,True,19976,0,6.0266479999881994,3.0133239999940997,404.0215015411377,0.10011553764343262,9,9,0
1784377206.122,True,19986,0,6.547545999637805,3.2737729998189025,424.5333671569824,0.02845001220703125,10,10,0
1784377207.122,True,19995,0,5.669828999998572,2.834914499999286,443.2659149169922,0.07401490211486816,9,9,0
1784377208.123,True,20005,0,5.442113999833964,2.721056999916982,463.655948638916,0.006995677947998047,10,9,0
1784377209.122,True,20014,0,121.05924699972093,60.52962349986046,495.35393714904785,0.033193349838256836,9,10,0
1784377210.122,True,20023,0,5.297204999806127,2.6486024999030633,501.25575065612793,0.0837862491607666,9,9,0
1784377211.123,True,20033,0,128.4794109997165,64.23970549985825,521.7177867889404,0.009616851806640625,10,9,0
1784377212.122,True,20042,0,5.796283000108815,2.8981415000544075,539.8530960083008,0.05604100227355957,9,10,0
1784377213.121,True,20051,0,110.52440100002059,55.262200500010294,558.1128597259521,0.10305929183959961,9,9,0
1784377214.122,True,20061,0,5.566583000017999,2.7832915000089997,576.5707492828369,0.03926539421081543,10,10,0
1784377215.122,True,20070,0,111.4276170001176,55.7138085000588,594.550609588623,0.08620190620422363,9,9,0
1784377216.122,True,20080,0,5.278720000205794,2.639360000102897,613.0731105804443,0.0242006778717041,10,10,0
1784377217.123,True,20089,0,110.52654000013717,55.26327000006859,631.8318843841553,0.06239748001098633,9,9,0
1784377218.122,True,20105,0,119.46090199990067,59.730450999950335,27.083158493041992,0.005799055099487305,11,10,0
1784377219.122,True,20114,0,109.23614600005749,54.618073000028744,41.49031639099121,0.05416083335876465,9,10,0
1784377220.122,True,20123,0,6.174700999963534,3.087350499981767,59.81326103210449,0.09560084342956543,9,9,0
1784377221.122,True,20133,0,111.88169000024573,55.94084500012286,80.70969581604004,0.02957296371459961,10,10,0
1784377222.122,True,20142,0,6.766694999896572,3.383347499948286,97.65744209289551,0.07013463973999023,9,9,0
1784377223.122,True,20152,0,5.695560999811278,2.847780499905639,118.12734603881836,0.0019240379333496094,10,10,0
1784377224.122,True,20161,0,5.468325000038021,2.7341625000190106,136.32893562316895,0.048599958419799805,9,9,0
1784377225.122,True,20170,0,6.029226000009658,3.014613000004829,154.62923049926758,0.09513688087463379,9,9,0
1784377226.123,True,20180,0,107.6832930002638,53.8416465001319,174.6201515197754,0.03619122505187988,10,10,0
1784377227.122,True,20189,0,107.56575100003829,53.782875500019145,192.6581859588623,0.08092713356018066,9,9,0
1784377228.122,True,20199,0,110.47440600032132,55.23720300016066,213.07969093322754,0.018863201141357422,10,9,0
1784377229.122,True,20208,0,6.018144999870856,3.009072499935428,231.9631576538086,0.06542229652404785,9,10,0
1784377230.122,True,20217,0,6.119488999956957,3.0597444999784784,249.91869926452637,0.10567641258239746,9,9,0
1784377231.122,True,20227,0,5.758258999776444,2.879129499888222,270.430326461792,0.040627241134643555,10,10,0
1784377232.122,True,20236,0,14.340898000227753,7.1704490001138765,290.90356826782227,0.055043935775756836,9,9,0
1784377233.122,True,20245,0,7.455109999682463,3.7275549998412316,307.1587085723877,0.09722304344177246,9,9,0
1784377234.122,True,20255,0,123.25966300022628,61.62983150011314,340.4428958892822,0.013296127319335938,10,9,0
1784377235.122,True,20264,0,109.50592799963488,54.75296399981744,346.7364311218262,0.06681346893310547,9,10,0
1784377236.123,True,20274,0,108.74823699987246,54.37411849993623,367.1996593475342,0.0018572807312011719,10,9,0
1784377237.122,True,20283,0,6.728655000188155,3.3643275000940775,385.99348068237305,0.03913068771362305,9,10,0
1784377238.122,True,20292,0,6.019103000198811,3.0095515000994055,403.3215045928955,0.08966779708862305,9,9,0
1784377239.123,True,20302,0,5.257041999811918,2.628520999905959,424.1220951080322,0.031347036361694336,10,10,0
1784377240.121,True,20311,0,130.37083999961396,65.18541999980698,448.5208988189697,0.05617856979370117,9,9,0
1784377241.122,True,20320,0,107.65102699997442,53.82551349998721,461.06672286987305,0.10406231880187988,9,9,0
1784377242.121,True,20330,0,108.71774999986883,54.358874999934415,481.98676109313965,0.04645490646362305,10,10,0
1784377243.122,True,20339,0,114.77111200019863,57.385556000099314,502.38847732543945,0.09190559387207031,9,9,0
1784377244.122,True,20349,0,112.68998700006705,56.344993500033524,520.7250118255615,0.02619647979736328,10,10,0
1784377245.122,True,20358,0,5.347888999949646,2.673944499974823,538.7527942657471,0.07056736946105957,9,9,0
1784377246.122,True,20368,0,111.2871720001749,55.64358600008745,559.3750476837158,0.00886392593383789,10,9,0
1784377247.122,True,20377,0,14.76463800008787,7.382319000043935,577.3968696594238,0.04925894737243652,9,10,0
1784377248.122,True,20386,0,5.9710919999815815,2.9855459999907907,596.2262153625488,0.09094071388244629,9,9,0
1784377249.123,True,20396,0,8.907236000140983,4.453618000070492,616.978645324707,0.021813392639160156,10,10,0
1784377250.122,True,20411,0,10.692109000046912,5.346054500023456,30.057430267333984,0.05425405502319336,10,10,0
1784377251.123,True,20421,0,5.1528330000110145,2.5764165000055073,51.07307434082031,0.0034499168395996094,10,9,0
1784377252.121,True,20430,0,108.29780899985053,54.148904499925266,68.93634796142578,0.034316301345825195,9,10,0
1784377253.122,True,20439,0,115.95726300038223,57.97863150019111,87.51893043518066,0.07498717308044434,9,9,0
1784377254.122,True,20449,0,111.70590800020364,55.85295400010182,107.92899131774902,0.006983518600463867,10,9,0
1784377255.121,True,20458,0,6.146489000002475,3.0732445000012376,127.02560424804688,0.04532217979431152,9,10,0
1784377256.122,True,20467,0,5.971923999823048,2.985961999911524,145.2481746673584,0.08238434791564941,9,9,0
1784377257.124,True,20477,0,5.970292999791127,2.9851464998955635,166.15962982177734,0.015472650527954102,10,10,0
1784377258.122,True,20486,0,5.849259000115126,2.924629500057563,184.0522289276123,0.06525397300720215,9,9,0
1784377259.122,True,20495,0,110.83909799981484,55.41954899990742,202.3460865020752,0.10594677925109863,9,9,0
1784377260.122,True,20505,0,113.23482899979354,56.61741449989677,223.79016876220703,0.03367352485656738,10,10,0
1784377261.122,True,20514,0,5.935405999935028,2.967702999967514,241.60361289978027,0.07854580879211426,9,9,0
1784377262.123,True,20524,0,114.73609199993007,57.368045999965034,268.8946723937988,0.014195919036865234,10,9,0
1784377263.122,True,20533,0,112.00632999998561,56.003164999992805,280.46560287475586,0.05686616897583008,9,10,0
1784377264.122,True,20543,0,109.45042100001956,54.72521050000978,301.5897274017334,0.0016794204711914062,10,9,0
1784377265.122,True,20552,0,109.60938700009137,54.80469350004569,319.89383697509766,0.037598371505737305,9,10,0
1784377266.122,True,20561,0,108.48173299973496,54.24086649986748,337.9490375518799,0.08343315124511719,9,9,0
1784377267.123,True,20571,0,107.59910500019032,53.79955250009516,358.4165573120117,0.02059316635131836,10,10,0
1784377268.121,True,20580,0,8.314217000133794,4.157108500066897,376.7824172973633,0.061965227127075195,9,9,0
1784377269.122,True,20590,0,108.11134499999753,54.055672499998764,398.08154106140137,0.005890369415283203,10,9,0
1784377270.121,True,20599,0,5.173152999759623,2.5865764998798113,416.5458679199219,0.048598289489746094,9,10,0
1784377271.122,True,20608,0,110.3911190002691,55.19555950013455,436.2366199493408,0.08784914016723633,9,9,0
1784377272.122,True,20618,0,5.314745999839943,2.6573729999199713,456.6915035247803,0.022390365600585938,10,10,0
1784377273.122,True,20627,0,6.641212999966228,3.320606499983114,475.8145809173584,0.06955218315124512,9,9,0
1784377274.122,True,20637,0,6.732819999797357,3.3664099998986785,498.02517890930176,0.0007827281951904297,10,9,0
1784377275.122,True,20646,0,6.137373999990814,3.068686999995407,515.9165859222412,0.043183088302612305,9,10,0
1784377276.122,True,20655,0,107.66381399980673,53.83190699990337,534.3124866485596,0.08803582191467285,9,9,0
1784377277.123,True,20665,0,5.727051999656396,2.863525999828198,556.3249588012695,0.02827930450439453,10,10,0
1784377278.123,True,20674,0,6.154308000077435,3.0771540000387176,574.9948024749756,0.07101678848266602,9,9,0
1784377279.123,True,20684,0,111.44984800012026,55.72492400006013,595.2637195587158,0.006597995758056641,10,9,0
1784377280.121,True,20693,0,108.09413000015411,54.047065000077055,614.2759323120117,0.05020332336425781,9,10,0
1784377281.122,True,20708,0,6.04147500007457,3.020737500037285,19.38319206237793,0.0817723274230957,10,10,0
1784377282.123,True,20718,0,110.06422399987059,55.032111999935296,41.63718223571777,0.016325950622558594,10,9,0
1784377283.122,True,20727,0,111.4155700001902,55.7077850000951,62.74676322937012,0.05917191505432129,9,10,0
1784377284.122,True,20736,0,6.007722000049398,3.003861000024699,78.99975776672363,0.10077977180480957,9,9,0
1784377285.122,True,20746,0,10.20866799990472,5.10433399995236,99.79557991027832,0.03355669975280762,10,10,0
1784377286.122,True,20755,0,7.627095999851008,3.813547999925504,119.13633346557617,0.06890869140625,9,9,0
1784377287.122,True,20764,0,6.620725000175298,3.310362500087649,138.72909545898438,0.0966496467590332,9,9,0
1784377288.123,True,20774,0,109.28327700003138,54.64163850001569,158.96105766296387,0.0412297248840332,10,10,0
1784377289.122,True,20783,0,7.4725439999383525,3.7362719999691762,177.35600471496582,0.08785748481750488,9,9,0
1784377290.122,True,20793,0,108.28996400005053,54.144982000025266,198.74882698059082,0.030884742736816406,10,10,0
1784377291.122,True,20802,0,6.068828000024951,3.0344140000124753,217.50354766845703,0.0779719352722168,9,9,0
1784377292.123,True,20812,0,110.10409200025606,55.05204600012803,238.9523983001709,0.01048135757446289,10,9,0
1784377293.122,True,20821,0,110.77921100013555,55.38960550006777,258.64672660827637,0.04567432403564453,9,10,0
