trial_index,relative_path,source_sha256,windows_sha256,match
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/epuck1_counter.json,d176b22faa236203b4d2df19bc4b9705dffba813e5f61dc569df6eea9551d927,d176b22faa236203b4d2df19bc4b9705dffba813e5f61dc569df6eea9551d927,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/epuck1_relay.csv,8eb9d85ab1c79ef3a9b613da14c30320fd76ab2264f41e872b1ff9701b563780,8eb9d85ab1c79ef3a9b613da14c30320fd76ab2264f41e872b1ff9701b563780,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/epuck2_counter.json,dea5598a062833a27453c0b4c4b2eefcf9397555e4983b7f49ec5bd85ee66f43,dea5598a062833a27453c0b4c4b2eefcf9397555e4983b7f49ec5bd85ee66f43,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/epuck2_relay.csv,bfa2a2db8f4280e31b855e96d5c4f57a206e80d53548e598f46443dc9ba34cfa,bfa2a2db8f4280e31b855e96d5c4f57a206e80d53548e598f46443dc9ba34cfa,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/execution.log,870968fbccff631bad14d741330a6dd91cf67bd2fdc341ea70419eac16839243,870968fbccff631bad14d741330a6dd91cf67bd2fdc341ea70419eac16839243,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/frozen_params.json,b38461b9b072640a49c33ec3889bf4d97998af15f8806947811453f41ecc2fba,b38461b9b072640a49c33ec3889bf4d97998af15f8806947811453f41ecc2fba,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/relay_counter.log,e8ed7178ffb7270a842f9f024c59a546df52db877f6f635a65f81d2d5076e6f9,e8ed7178ffb7270a842f9f024c59a546df52db877f6f635a65f81d2d5076e6f9,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/simulation.log,e18a9e268c035e7912cefdda3c36a04a38250549b09a28c84170bc6a6a0c81e4,e18a9e268c035e7912cefdda3c36a04a38250549b09a28c84170bc6a6a0c81e4,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/state_epuck1.log,68d55dbbc29f9616ae79812b03aaac2027e1e57dfcdbf2941a067abcac894a7a,68d55dbbc29f9616ae79812b03aaac2027e1e57dfcdbf2941a067abcac894a7a,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/state_epuck2.log,8dc9a99c80cd638c8e34b35f862c980c9d81a87cdbba177170a3829337f6d04a,8dc9a99c80cd638c8e34b35f862c980c9d81a87cdbba177170a3829337f6d04a,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01/metadata.yaml,04f55b6c9c46373daff464106e4dd310e4aef7de78f7d62256aa9174b773141d,04f55b6c9c46373daff464106e4dd310e4aef7de78f7d62256aa9174b773141d,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01/objective5_impairment_matrix_v1_condition_G_trial05_attempt01_0.db3,87425a355a40f6f2dd81db1c519acfe1788407a35a65a60843e30ad9899ade34,87425a355a40f6f2dd81db1c519acfe1788407a35a65a60843e30ad9899ade34,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/bag_record.log,1170590f0be1aeba4b3d90d7c48074168abfbb2265871f39dd16708d95b827a4,1170590f0be1aeba4b3d90d7c48074168abfbb2265871f39dd16708d95b827a4,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/controller.log,3894aa264a90ffda7d43cf3e3b3b45d9aaf2e6eca0ce5d7d1194ca09c70e0d15,3894aa264a90ffda7d43cf3e3b3b45d9aaf2e6eca0ce5d7d1194ca09c70e0d15,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/epuck1_counter.json,e2ae37e0c999516e70cb99756788fa9dc25e1d730f0dd2244b3bf167495295a0,e2ae37e0c999516e70cb99756788fa9dc25e1d730f0dd2244b3bf167495295a0,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/epuck1_relay.csv,683d898c299ad6853af8ff4511d97a9fb41336c2a5733dd2c9609fc0c7a243ac,683d898c299ad6853af8ff4511d97a9fb41336c2a5733dd2c9609fc0c7a243ac,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/epuck2_counter.json,42f925833709c53fa88c660007c16f8c24ce1f867ba94fb822bf267eb40c9d90,42f925833709c53fa88c660007c16f8c24ce1f867ba94fb822bf267eb40c9d90,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/epuck2_relay.csv,e1b2085aba32a67b1763a7fa82d29fb63539b9661a5375ac24d2e3d493bdc64d,e1b2085aba32a67b1763a7fa82d29fb63539b9661a5375ac24d2e3d493bdc64d,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/execution.log,d8dd6e5d9de8db283a0bb8788d93b06a82943381a3daa18d209529ed6d775f37,d8dd6e5d9de8db283a0bb8788d93b06a82943381a3daa18d209529ed6d775f37,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/frozen_params.json,6ea419bace90832b2dc896f939cb1a7e7b802742219384a641e2bf37e7372a56,6ea419bace90832b2dc896f939cb1a7e7b802742219384a641e2bf37e7372a56,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/relay_counter.log,ff8ff553c86698efb368b77213d1cb10d3c4c4af5eb23236400441d93a5055fd,ff8ff553c86698efb368b77213d1cb10d3c4c4af5eb23236400441d93a5055fd,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/simulation.log,32c4ec49bcb7fadd7badaed670db1d9bffc464189ab29715f4fe5a76732b2e58,32c4ec49bcb7fadd7badaed670db1d9bffc464189ab29715f4fe5a76732b2e58,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/state_epuck1.log,f4886055bf3179681e9b078dc3bd26bb90a7be3de11ee62fa2e383c8513b7bdd,f4886055bf3179681e9b078dc3bd26bb90a7be3de11ee62fa2e383c8513b7bdd,True
5,objective5_impairment_matrix_v1_condition_G_trial05_attempt01_diag_logs/state_epuck2.log,ee450986b18cef32c520b044b06f4c07035b2536e11a9af6cb349eff71000c0d,ee450986b18cef32c520b044b06f4c07035b2536e11a9af6cb349eff71000c0d,True
