unix_time_s,cpu_percent,mem_used_mb,mem_available_mb
1784380629.033,3.77,659.54,3257.08
1784380630.035,3.53,659.48,3257.13
1784380631.036,4.48,659.48,3257.13
1784380631.369,2.98,659.41,3257.20
1784380632.371,4.02,659.41,3257.20
1784380633.372,2.78,659.41,3257.20
1784380634.373,2.78,659.41,3257.20
1784380635.375,3.05,659.41,3257.20
1784380636.376,3.54,659.38,3257.24
1784380637.378,2.30,659.37,3257.24
1784380638.380,2.54,659.37,3257.24
1784380639.381,4.02,659.27,3257.34
1784380640.382,2.54,659.27,3257.34
1784380641.384,2.53,659.19,3257.42
1784380642.384,2.79,659.19,3257.42
1784380643.386,3.03,659.09,3257.52
1784380644.387,3.77,659.09,3257.52
1784380645.389,2.55,659.09,3257.52
1784380646.391,2.79,659.09,3257.52
1784380647.392,3.03,659.09,3257.52
1784380648.394,3.54,659.09,3257.52
1784380649.396,2.78,659.09,3257.52
1784380650.397,3.29,659.07,3257.55
1784380651.398,3.54,659.02,3257.59
1784380652.400,2.54,658.98,3257.63
1784380653.401,2.54,658.98,3257.64
1784380654.403,2.29,658.98,3257.64
1784380655.404,3.28,658.98,3257.64
1784380656.404,3.28,658.98,3257.64
1784380657.406,2.79,658.94,3257.68
1784380658.408,3.04,658.94,3257.68
1784380659.409,2.78,658.94,3257.68
1784380660.411,4.02,658.94,3257.68
1784380661.412,3.28,658.91,3257.70
1784380662.413,2.80,658.91,3257.70
1784380662.751,1.26,658.91,3257.70
1784380663.753,3.77,658.91,3257.70
1784380664.755,2.79,658.91,3257.70
1784380665.756,4.73,658.89,3257.73
1784380666.758,3.04,658.89,3257.73
1784380667.760,3.54,658.80,3257.81
1784380668.762,3.04,658.80,3257.81
1784380669.763,4.74,658.80,3257.81
1784380670.765,4.01,658.71,3257.90
1784380671.766,3.03,658.71,3257.90
1784380672.768,6.28,637.19,3279.42
1784380673.770,3.77,637.19,3279.42
1784380674.771,4.02,637.17,3279.44
1784380675.772,3.27,637.15,3279.46
1784380676.774,2.54,637.14,3279.48
