unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784380285.338,15.20,167.90,196.63,2942,36327,70.0,-21.0
1784380286.344,14.11,167.90,196.63,3107,36867,70.0,-20.0
1784380287.351,15.23,167.90,196.63,2981,37543,70.0,-21.0
1784380288.357,13.97,167.89,196.64,2696,36922,70.0,-21.0
1784380289.363,14.99,167.89,196.64,2944,36918,70.0,-20.0
1784380290.369,14.29,167.89,196.64,2942,37535,70.0,-20.0
1784380291.375,14.18,167.95,196.58,2953,36493,70.0,-20.0
1784380292.381,15.50,168.01,196.52,2941,36375,70.0,-21.0
1784380293.387,14.78,167.94,196.59,3104,37168,70.0,-21.0
1784380294.394,13.47,167.94,196.59,2942,36517,70.0,-20.0
1784380295.400,14.21,168.00,196.53,2943,36374,70.0,-21.0
1784380296.405,14.18,167.94,196.59,2983,37419,70.0,-21.0
1784380297.411,15.16,167.94,196.59,3023,38359,70.0,-20.0
1784380298.419,14.74,167.94,196.59,2903,38032,70.0,-20.0
1784380299.425,14.85,167.88,196.65,2941,36652,70.0,-21.0
1784380300.431,15.78,167.88,196.65,2953,36508,70.0,-21.0
1784380301.437,14.60,167.88,196.65,3035,37298,70.0,-21.0
1784380302.443,14.29,167.85,196.68,2943,36679,70.0,-21.0
1784380303.460,14.84,167.84,196.69,2860,36102,70.0,-21.0
1784380304.466,14.14,167.84,196.69,2942,36376,70.0,-21.0
1784380305.472,14.81,167.90,196.63,2943,36658,70.0,-20.0
1784380306.477,13.86,167.89,196.64,2944,36110,70.0,-20.0
1784380307.483,14.36,167.95,196.58,2942,36588,70.0,-20.0
1784380308.489,13.86,167.89,196.64,2913,40630,70.0,-20.0
1784380309.496,13.97,167.95,196.58,2944,36309,70.0,-21.0
1784380310.502,13.40,167.95,196.58,3016,37073,70.0,-20.0
1784380311.519,14.22,167.95,196.58,3304,37097,70.0,-21.0
1784380312.525,14.43,167.94,196.59,2902,36586,70.0,-21.0
1784380313.531,15.14,167.94,196.59,2981,36989,70.0,-21.0
1784380314.536,14.04,167.94,196.59,2992,36854,70.0,-34.0
1784380315.550,12.72,168.00,196.54,2942,36310,70.0,-33.0
1784380316.557,12.85,167.94,196.59,2902,36651,70.0,-32.0
1784380317.562,14.11,167.93,196.60,2944,37086,70.0,-33.0
1784380318.569,12.97,167.88,196.66,2939,36539,70.0,-32.0
1784380319.577,14.36,167.93,196.60,3103,37160,70.0,-32.0
1784380320.583,13.25,167.99,196.54,2939,36804,70.0,-33.0
1784380321.589,13.22,168.05,196.48,2983,37160,70.0,-32.0
1784380322.595,14.46,167.93,196.60,2740,36804,70.0,-32.0
1784380323.603,14.32,167.93,196.60,2942,36580,70.0,-32.0
1784380324.609,14.99,167.93,196.60,2900,36315,70.0,-32.0
1784380325.615,14.18,168.05,196.48,2898,37060,70.0,-33.0
1784380326.621,14.78,167.96,196.57,2943,36374,70.0,-32.0
1784380327.627,15.85,167.96,196.57,2899,36110,70.0,-33.0
1784380328.633,14.95,167.96,196.57,2981,37648,70.0,-32.0
1784380329.639,14.67,167.96,196.57,2862,36607,70.0,-33.0
1784380330.647,14.36,168.07,196.46,2900,36542,70.0,-33.0
1784380331.653,15.06,168.02,196.52,2938,36910,70.0,-32.0
1784380332.658,14.50,168.07,196.46,2941,36414,70.0,-32.0
1784380333.668,13.83,168.12,196.41,2899,36125,70.0,-32.0
1784380334.675,14.36,168.11,196.43,2904,36858,70.0,-32.0
1784380335.681,14.74,168.11,196.43,2942,36617,70.0,-33.0
1784380336.686,13.00,168.11,196.43,2941,36539,70.0,-33.0
1784380337.692,13.72,168.11,196.43,2939,36643,70.0,-32.0
1784380338.699,14.99,168.16,196.37,2902,36585,70.0,-32.0
1784380339.705,14.95,168.16,196.37,2930,33951,70.0,-33.0
1784380340.712,13.25,168.16,196.37,2903,36649,70.0,-32.0
1784380341.719,16.26,168.16,196.37,2901,36794,70.0,-32.0
1784380342.725,17.11,168.16,196.37,2943,36311,70.0,-32.0
1784380343.730,14.32,168.16,196.37,3318,37175,70.0,-32.0
1784380344.738,15.16,168.22,196.31,2941,36602,70.0,-32.0
1784380345.743,13.65,168.16,196.37,2901,36997,70.0,-31.0
1784380346.750,13.28,168.16,196.37,2740,36569,70.0,-29.0
1784380347.756,14.54,168.16,196.37,2980,36673,70.0,-30.0
1784380348.762,13.83,168.11,196.43,2899,35898,70.0,-30.0
1784380349.768,14.36,168.22,196.31,2901,36677,70.0,-31.0
1784380350.773,15.23,168.20,196.33,2981,36987,70.0,-31.0
1784380351.780,14.71,168.08,196.45,2862,35904,70.0,-31.0
1784380352.786,14.81,168.14,196.39,2846,33292,70.0,-31.0
1784380353.792,13.25,168.14,196.39,2942,36385,70.0,-31.0
1784380354.797,14.04,168.14,196.39,2942,36133,70.0,-31.0
1784380355.804,14.64,168.20,196.33,2904,36637,70.0,-31.0
1784380356.809,15.93,168.20,196.33,2940,36379,70.0,-30.0
1784380357.815,15.44,168.20,196.33,2993,36122,70.0,-30.0
1784380358.821,13.40,168.26,196.27,2944,36644,70.0,-30.0
1784380359.827,14.43,168.30,196.23,3076,36763,70.0,-30.0
1784380360.833,14.14,168.32,196.21,2942,36322,70.0,-30.0
1784380361.840,14.25,168.28,196.25,2956,36879,70.0,-30.0
1784380362.846,13.61,168.28,196.25,2939,36580,70.0,-31.0
1784380363.852,14.25,168.34,196.19,2902,36313,70.0,-31.0
1784380364.857,14.43,168.20,196.33,2757,37052,70.0,-30.0
1784380365.862,13.00,168.20,196.33,3456,36691,70.0,-31.0
1784380366.869,14.71,168.26,196.27,3008,36078,70.0,-31.0
1784380367.875,12.97,168.26,196.27,2940,36490,70.0,-31.0
1784380368.881,17.03,168.26,196.27,3147,36144,70.0,-31.0
1784380369.888,13.86,168.32,196.21,2952,39112,70.0,-31.0
1784380370.893,14.21,168.32,196.21,2903,36731,70.0,-31.0
1784380371.899,14.39,168.32,196.21,3159,39725,70.0,-31.0
1784380372.905,13.97,168.38,196.15,2942,36026,70.0,-30.0
1784380373.915,13.68,168.36,196.17,3025,39690,70.0,-30.0
1784380374.922,16.17,168.30,196.23,2996,36047,70.0,-30.0
1784380375.927,13.90,168.35,196.18,2942,35669,70.0,-30.0
1784380376.933,13.90,168.35,196.18,3197,39686,70.0,-30.0
1784380377.939,14.25,168.34,196.19,2903,35561,70.0,-30.0
1784380378.945,15.02,168.46,196.07,3155,38877,70.0,-30.0
1784380379.951,14.50,168.46,196.07,2941,36979,70.0,-31.0
1784380380.957,14.07,168.40,196.13,3157,39226,70.0,-31.0
1784380381.964,13.68,168.46,196.07,2976,35748,70.0,-31.0
1784380382.969,13.78,168.40,196.13,3148,40090,70.0,-31.0
1784380383.976,15.20,168.46,196.07,2993,35303,70.0,-33.0
1784380384.982,13.61,168.46,196.07,2902,35298,70.0,-31.0
1784380385.987,14.57,168.40,196.13,3192,40672,70.0,-31.0
1784380386.993,13.75,168.40,196.13,2902,35585,70.0,-31.0
1784380387.999,14.53,168.45,196.08,3160,38930,70.0,-31.0
1784380389.006,14.11,168.45,196.08,2939,36316,70.0,-32.0
1784380390.013,14.29,168.45,196.08,2941,36221,70.0,-30.0
1784380391.019,13.86,168.45,196.08,3197,39725,70.0,-30.0
1784380392.025,13.90,168.45,196.08,2902,36464,70.0,-32.0
1784380393.031,14.68,168.46,196.07,3237,40154,70.0,-30.0
1784380394.036,13.75,168.52,196.02,2941,35784,70.0,-31.0
1784380395.042,12.72,168.59,195.94,3145,39862,70.0,-31.0
1784380396.048,13.97,168.59,195.94,2950,35904,70.0,-31.0
1784380397.054,13.25,168.59,195.94,2944,35875,70.0,-32.0
1784380398.060,15.63,168.59,195.94,3196,40114,70.0,-31.0
1784380399.066,13.65,168.59,195.94,2941,35487,70.0,-31.0
1784380400.072,13.72,168.65,195.88,2902,35945,70.0,-33.0
1784380401.078,13.86,168.59,195.94,3197,40267,70.0,-32.0
1784380402.083,14.60,168.65,195.88,2941,36223,70.0,-32.0
1784380403.089,14.18,168.57,195.96,3259,39878,70.0,-32.0
1784380404.095,13.32,168.62,195.91,2944,36402,70.0,-31.0
1784380405.101,14.29,168.62,195.91,3199,39522,70.0,-31.0
1784380406.106,14.36,168.62,195.91,2941,35976,70.0,-32.0
1784380407.112,11.90,168.62,195.91,3157,40536,70.0,-31.0
1784380408.121,14.07,168.68,195.85,3022,37481,70.0,-31.0
1784380409.126,14.91,168.68,195.85,2902,36355,70.0,-31.0
1784380410.133,14.74,168.68,195.85,3159,40072,70.0,-31.0
1784380411.139,15.53,168.68,195.86,2981,35715,70.0,-31.0
1784380412.146,14.07,168.68,195.86,3159,39224,70.0,-30.0
1784380413.152,14.29,168.68,195.86,2901,36017,70.0,-32.0
1784380414.159,14.74,168.68,195.86,3153,39334,70.0,-31.0
1784380415.165,15.65,168.73,195.80,2979,36061,70.0,-32.0
1784380416.171,14.91,168.73,195.80,3199,39835,70.0,-32.0
1784380417.177,13.83,168.73,195.80,2860,35660,70.0,-31.0
1784380418.183,13.18,168.73,195.80,2904,35581,70.0,-33.0
1784380419.189,13.68,168.73,195.80,3156,40127,70.0,-32.0
1784380420.195,12.28,168.79,195.74,2900,35479,70.0,-32.0
1784380421.201,14.32,168.79,195.74,3239,39289,70.0,-33.0
1784380422.206,13.35,168.73,195.80,2942,36425,70.0,-32.0
1784380423.212,15.10,168.67,195.86,3154,39765,70.0,-31.0
1784380424.218,13.90,168.73,195.80,2861,35661,70.0,-32.0
1784380425.224,14.53,168.67,195.86,3195,40404,70.0,-31.0
1784380426.230,13.40,168.67,195.86,2903,35574,70.0,-32.0
1784380427.237,16.50,168.70,195.83,3106,35474,70.0,-31.0
1784380428.245,14.36,168.74,195.79,2950,40655,70.0,-31.0
1784380429.252,14.74,168.74,195.79,3157,39274,70.0,-33.0
1784380430.258,14.71,168.74,195.79,2898,35769,70.0,-33.0
1784380431.264,13.22,168.74,195.79,2942,36313,70.0,-31.0
1784380432.270,14.95,168.74,195.79,3169,39249,70.0,-33.0
1784380433.275,13.57,168.74,195.79,2981,36151,70.0,-32.0
1784380434.283,14.39,168.74,195.79,3155,40084,70.0,-31.0
1784380435.288,14.04,168.68,195.85,2898,35279,70.0,-33.0
1784380436.295,15.16,168.68,195.85,3146,35964,70.0,-32.0
1784380437.302,15.76,168.68,195.85,2996,39997,70.0,-32.0
1784380438.308,13.33,169.07,195.46,2944,35495,70.0,-31.0
1784380439.314,13.25,169.03,195.50,3158,39430,70.0,-32.0
1784380440.320,12.56,169.03,195.50,2943,36322,70.0,-32.0
1784380441.327,13.68,169.03,195.50,3195,39060,70.0,-31.0
1784380442.332,14.29,169.01,195.52,2942,36315,70.0,-31.0
1784380443.338,14.71,169.01,195.52,2863,36137,70.0,-32.0
1784380444.344,13.10,169.12,195.41,3197,39039,70.0,-33.0
1784380445.351,13.83,169.06,195.47,2940,35977,70.0,-31.0
1784380446.357,14.36,169.18,195.36,3197,39615,70.0,-31.0
1784380447.364,12.56,169.12,195.41,2900,35489,70.0,-29.0
1784380448.370,14.29,169.23,195.30,3232,39850,70.0,-21.0
1784380449.376,14.81,169.29,195.24,2943,36032,70.0,-21.0
1784380450.382,14.43,169.32,195.21,3155,39084,70.0,-20.0
1784380451.388,13.53,169.38,195.16,2939,35965,70.0,-21.0
1784380452.395,11.84,169.38,195.16,3142,35913,70.0,-21.0
1784380453.402,14.74,169.38,195.16,3045,39861,70.0,-21.0
1784380454.409,13.75,169.32,195.21,2941,36355,70.0,-20.0
1784380455.415,13.60,169.38,195.16,3198,39787,70.0,-20.0
1784380456.421,13.18,169.35,195.18,2940,35864,70.0,-21.0
1784380457.427,13.65,169.34,195.19,3154,39592,70.0,-21.0
1784380458.433,15.76,169.34,195.19,2942,36360,70.0,-21.0
1784380459.439,14.67,169.28,195.25,2942,35853,70.0,-21.0
1784380460.445,16.17,169.33,195.20,3199,39777,70.0,-21.0
1784380461.451,13.90,169.27,195.26,2904,36626,70.0,-21.0
1784380462.458,13.22,169.27,195.26,3148,39269,70.0,-21.0
1784380463.465,12.94,169.21,195.32,2995,36319,70.0,-20.0
1784380464.472,16.34,169.22,195.31,2902,36821,70.0,-20.0
1784380465.478,13.00,169.34,195.20,3197,39052,70.0,-20.0
1784380466.484,12.34,169.28,195.25,2941,36332,70.0,-21.0
1784380467.490,13.40,169.28,195.25,3249,39506,70.0,-21.0
1784380468.496,16.87,169.34,195.20,2902,35907,70.0,-21.0
1784380469.502,13.61,169.33,195.20,3104,39616,70.0,-21.0
1784380470.508,13.83,169.27,195.26,2992,36395,70.0,-21.0
1784380471.514,12.97,169.21,195.32,3199,38866,70.0,-20.0
1784380472.521,14.71,169.16,195.38,2861,35655,70.0,-21.0
1784380473.527,14.07,169.19,195.34,3199,39831,70.0,-21.0
1784380474.533,13.03,169.19,195.34,2942,35749,70.0,-21.0
1784380475.539,15.23,169.19,195.34,3156,39130,70.0,-21.0
1784380476.545,14.18,169.13,195.40,2940,36215,70.0,-21.0
1784380477.552,15.31,169.13,195.40,3293,41382,70.0,-21.0
1784380478.558,14.21,169.13,195.40,2956,37350,70.0,-20.0
1784380479.564,13.90,169.13,195.40,3095,38791,70.0,-20.0
1784380480.570,14.89,169.07,195.46,2635,35371,70.0,-20.0
1784380481.575,14.32,169.13,195.40,3262,40242,70.0,-20.0
1784380482.582,15.40,169.13,195.40,2258,35581,70.0,-21.0
1784380483.588,12.56,169.13,195.40,2658,35313,70.0,-21.0
1784380484.593,13.25,169.13,195.40,3195,39585,70.0,-21.0
1784380485.603,14.07,169.25,195.29,2941,36053,70.0,-21.0
1784380486.609,13.53,169.19,195.34,3158,38869,70.0,-20.0
1784380487.615,16.50,169.24,195.29,2939,36033,70.0,-20.0
1784380488.622,14.95,169.28,195.25,3210,39150,70.0,-21.0
1784380489.630,14.53,169.22,195.31,2901,35300,70.0,-21.0
1784380490.638,14.29,169.33,195.20,3251,40410,70.0,-20.0
