time_s,linear_mps,angular_rps
41.907555445,0.01,0.18
41.918689442,0.01,0.18
41.924337084,0.01,0.18
41.93412699,0.01,0.18
41.941460495,0.01,0.18
41.945928833,0.01,0.18
41.958698397,0.01,0.18
41.963596799,0.01,0.18
41.977756751,0.01,0.18
41.985058858,0.01,0.18
41.991840108,0.01,0.18
42.003914029,0.01,0.18
42.010584688,0.01,0.18
42.01388092,0.01,0.18
42.026692081,0.01,0.18
42.031993951,0.01,0.18
42.042644687,0.01,0.18
42.052774665,0.01,0.18
42.066123382,0.01,0.18
42.068224512,0.01,0.18
42.079359708,0.01,0.18
42.091289641,0.01,0.18
42.097038074,0.01,0.18
42.105267807,0.01,0.18
42.117299831,0.01,0.18
42.127316118,0.01,0.18
42.135783531,0.01,0.18
42.143374615,0.01,0.18
42.157281387,0.01,0.18
42.160359138,0.01,0.18
42.173860642,0.01,0.18
42.182175568,0.01,0.18
42.187769814,0.01,0.18
42.197498925,0.01,0.18
42.206966757,0.01,0.18
42.218084455,0.01,0.18
42.227134821,0.01,0.18
42.236872131,0.01,0.18
42.245906398,0.01,0.18
42.25240747,0.01,0.18
42.263436576,0.01,0.18
42.272252361,0.01,0.18
42.28063778,0.01,0.18
42.286322019,0.01,0.18
42.295776452,0.01,0.18
42.30418427,0.01,0.18
42.313850786,0.01,0.18
42.321436371,0.01,0.18
42.332330887,0.01,0.18
42.337136297,0.01,0.18
42.350421619,0.01,0.18
42.35830658,0.01,0.18
42.36878053,0.01,0.18
42.374819229,0.01,0.18
42.387083007,0.01,0.18
42.393420879,0.01,0.18
42.401638594,0.01,0.18
42.409376149,0.01,0.18
42.419784782,0.01,0.18
42.428981015,0.01,0.18
42.437871574,0.01,0.18
42.449287723,0.01,0.18
42.455558,0.01,0.18
42.461152634,0.01,0.18
42.472093322,0.01,0.18
42.479536602,0.01,0.18
42.488868324,0.01,0.18
42.498058058,0.01,0.18
42.509449209,0.01,0.18
42.520541084,0.01,0.18
42.527110137,0.01,0.18
42.540368232,0.01,0.18
42.547030777,0.01,0.18
42.553058774,0.01,0.18
42.564289838,0.01,0.18
42.571079572,0.01,0.18
42.582194546,0.01,0.18
42.58850152,0.01,0.18
42.597049808,0.01,0.18
42.608251274,0.01,0.18
42.617275122,0.01,0.18
42.629649491,0.01,0.18
42.634468089,0.01,0.18
42.639571964,0.01,0.18
42.652811861,0.01,0.18
42.661350249,0.01,0.18
42.674102286,0.01,0.18
42.677853373,0.01,0.18
42.689315418,0.01,0.18
42.694382796,0.01,0.18
42.702210444,0.01,0.18
42.71508647,0.01,0.18
42.720194045,0.01,0.18
42.730145015,0.01,0.18
42.739201461,0.01,0.18
42.743096236,0.01,0.18
42.756220042,0.01,0.18
42.761257522,0.01,0.18
42.7711239,0.01,0.18
42.776350264,0.01,0.18
42.784357397,0.01,0.18
42.797909268,0.01,0.18
42.803221025,0.01,0.18
42.812003893,0.01,0.18
42.823115767,0.01,0.18
42.828613009,0.01,0.18
42.840980678,0.01,0.18
42.846568212,0.01,0.18
42.85463944,0.01,0.18
42.864067154,0.01,0.18
42.87467277,0.01,0.1447024941444397
42.887125432,0.01,0.1447024941444397
42.891621657,0.01,0.1447024941444397
42.895631323,0.01,0.1447024941444397
42.906755796,0.01,0.1447024941444397
42.912984577,0.01,0.1447024941444397
42.926409358,0.01,0.1447024941444397
42.9295001,0.01,0.1447024941444397
42.93862704,0.01,0.1447024941444397
42.948381627,0.01,0.1447024941444397
42.958348796,0.01,0.1447024941444397
42.972067653,0.01,0.1447024941444397
42.977159228,0.01,0.11990776214452126
42.981993925,0.01,0.1005261741445338
42.994321798,0.01,0.07058658003807068
43.001388709,0.01,0.07058658003807068
43.012439088,0.01,0.07058658003807068
43.017780943,0.01,0.07058658003807068
43.026362128,0.01,0.07058658003807068
43.039211057,0.01,0.07058658003807068
43.043791675,0.01,0.07058658003807068
43.055482201,0.01,0.07058658003807068
43.060597274,0.01,0.07058658003807068
43.066820056,0.01,0.07058658003807068
43.080149745,0.01,0.029999297857284543
43.086633604,0.010318813450002153,0.03749912232160568
43.099002774,0.010968049350001365,0.03749912232160568
43.104415722,0.011238156850001815,0.03749912232160568
43.112274567,0.011635313750000478,0.03749912232160568
43.119946228,0.01198059495000109,0.03749912232160568
43.129033471,0.01245559534999984,0.03749912232160568
43.142764626,0.013160011650001593,0.03749912232160568
43.150578275,0.013521866500000215,0.03749912232160568
43.157033937,0.013873427199999924,0.03749912232160568
43.16923982,0.014452208950002045,0.03749912232160568
43.17404062,0.014711432350001132,0.03749912232160568
43.186225904,0.015,0.013234984129667282
43.190322363,0.015,0.013234984129667282
43.198529479,0.015,0.013234984129667282
43.206831087,0.015,0.013234984129667282
43.214418754,0.015,0.013234984129667282
43.227981024,0.015,0.013234984129667282
43.235898564,0.015,0.013234984129667282
43.242012455,0.015,0.013234984129667282
43.25490508,0.015,0.013234984129667282
43.261230953,0.015,0.013234984129667282
43.272408421,0.015,0.013234984129667282
43.279059267,0.015,0.013234984129667282
43.291060667,0.015,0.00441166153177619
43.298119779,0.015,0.00441166153177619
43.306091414,0.015,0.00441166153177619
43.317533061,0.015,0.00441166153177619
43.323789439,0.015,0.00441166153177619
43.33362342,0.015,0.00441166153177619
43.343525894,0.015,0.00441166153177619
43.349525094,0.015,0.00441166153177619
43.362976873,0.015,0.00441166153177619
43.36852871,0.015,0.00441166153177619
43.3792119,0.015,0.00441166153177619
43.385920526,0.015,1.0529771499179219e-14
43.397307752,0.015,1.0529771499179219e-14
43.405601743,0.015,1.0529771499179219e-14
43.41019285,0.015,1.0529771499179219e-14
43.419392863,0.015,1.0529771499179219e-14
43.430211438,0.015,1.0529771499179219e-14
43.438551724,0.015,1.0529771499179219e-14
43.450496103,0.015,1.0529771499179219e-14
43.45719343,0.015,1.0529771499179219e-14
43.469623467,0.015,1.0529771499179219e-14
43.476518377,0.015,1.0529771499179219e-14
43.493852595,0.015,1.0529771499179219e-14
43.501335855,0.015,1.0529771499179219e-14
43.506159342,0.015,1.0529771499179219e-14
43.513876382,0.015,1.0529771499179219e-14
43.523501959,0.015,1.0529771499179219e-14
43.533160733,0.015,1.0529771499179219e-14
43.5428995,0.015,1.0529771499179219e-14
43.548452625,0.015,1.0529771499179219e-14
43.561619099,0.015,1.0529771499179219e-14
43.567453999,0.015,1.0529771499179219e-14
43.580339797,0.015,1.0529771499179219e-14
43.586441675,0.015,1.0529771499179219e-14
43.602532499,0.015,1.0529771499179219e-14
43.607572068,0.015,1.0529771499179219e-14
43.62075684,0.015,1.0529771499179219e-14
43.626411557,0.015,1.0529771499179219e-14
43.635472382,0.015,1.0529771499179219e-14
43.643385805,0.015,1.0529771499179219e-14
