condition_id,trial_id,attempt_id,data_validity,task_outcome,delay_s,jitter_s,drop_probability,outage_period_s,outage_duration_s,outage_phase_s,seed_epuck1_to_epuck2,seed_epuck2_to_epuck1,minimum_interrobot_distance_m,safety_margin_m,completion_count,task_completion_time_s,stale_stop_duration_s,recovery_time_s,controller_crashed,configured_drop_probability,authoritative_drop_count_epuck1_to_epuck2,authoritative_drop_count_epuck2_to_epuck1,authoritative_drop_fraction_epuck1_to_epuck2,authoritative_drop_fraction_epuck2_to_epuck1,drop_mechanism,measured_message_age_mean_epuck1_to_epuck2,measured_message_age_mean_epuck2_to_epuck1,measured_message_age_p95_epuck1_to_epuck2,measured_message_age_p95_epuck2_to_epuck1,reordered_count_epuck1_to_epuck2,reordered_count_epuck2_to_epuck1,duplicate_count_epuck1_to_epuck2,duplicate_count_epuck2_to_epuck1,queue_drained,stale_state_episode_count,in_task_stale_episode_count,peer_timeout_events,bag_metadata_valid_proxy,analyzer_ok,evidence_hash_status,source_frozen_params_path,source_trial_verdict_path,source_matrix_analysis_path
E,objective5_impairment_matrix_v1_condition_E_trial01_attempt01,1,VALID,SUCCESS,0.0,0.0,0.15,0.0,0.0,0.0,4001,14001,0.14662650300062452,0.006626503000624506,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.15,64,75,0.14780600461893764,0.17045454545454544,INDEPENDENT_BERNOULLI,0.01826558264498499,0.016876712317806828,0.020000000000003126,0.020000000000003126,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,REPORTED_VERIFIED_NO_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_E_trial01_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_E_trial01_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_E_trial01_attempt01_analysis/matrix_analysis.json
E,objective5_impairment_matrix_v1_condition_E_trial02_attempt01,1,VALID,SUCCESS,0.0,0.0,0.15,0.0,0.0,0.0,4002,14002,0.1476825875632454,0.0076825875632453855,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.15,66,74,0.14699331848552338,0.16192560175054704,INDEPENDENT_BERNOULLI,0.01634464750652616,0.017597911214097865,0.020000000000003126,0.020000000000003126,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,REPORTED_VERIFIED_NO_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_E_trial02_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_E_trial02_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_E_trial02_attempt01_analysis/matrix_analysis.json
E,objective5_impairment_matrix_v1_condition_E_trial03_attempt01,1,VALID,SUCCESS,0.0,0.0,0.15,0.0,0.0,0.0,4003,14003,0.14953894800279266,0.009538948002792647,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.15,54,48,0.1291866028708134,0.1103448275862069,INDEPENDENT_BERNOULLI,0.01697802196977886,0.018759689906975296,0.020000000000003126,0.020000000000003126,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,REPORTED_VERIFIED_NO_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_E_trial03_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_E_trial03_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_E_trial03_attempt01_analysis/matrix_analysis.json
E,objective5_impairment_matrix_v1_condition_E_trial04_attempt01,1,VALID,SUCCESS,0.0,0.0,0.15,0.0,0.0,0.0,4004,14004,0.14769971325561143,0.007699713255611418,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.15,68,60,0.15777262180974477,0.1366742596810934,INDEPENDENT_BERNOULLI,0.017961432501376044,0.018100263841687135,0.020000000000003126,0.020000000000003126,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,REPORTED_VERIFIED_NO_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_E_trial04_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_E_trial04_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_E_trial04_attempt01_analysis/matrix_analysis.json
E,objective5_impairment_matrix_v1_condition_E_trial05_attempt01,1,VALID,SUCCESS,0.0,0.0,0.15,0.0,0.0,0.0,4005,14005,0.14473378798227735,0.004733787982277332,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.15,75,70,0.17647058823529413,0.16129032258064516,INDEPENDENT_BERNOULLI,0.01799999999142693,0.018791208780218227,0.020000000000003126,0.020000000000003126,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,REPORTED_VERIFIED_NO_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_E_trial05_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_E_trial05_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_E_trial05_attempt01_analysis/matrix_analysis.json
F,objective5_impairment_matrix_v1_condition_F_trial01_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,15.0,0.7,10.0,4001,14001,0.1435979511442254,0.0035979511442253975,2,NOT_AVAILABLE,0.2839999999999982,NOT_AVAILABLE,False,0.0,24,26,0.0375,0.0401854714064915,SCHEDULED_OUTAGE,0.017564935060064304,0.0174557165797096,0.020000000000010232,0.020000000000010232,0,0,0,0,True,10,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,VERIFIED_WITH_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_F_trial01_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_F_trial01_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_F_trial01_attempt01_analysis/matrix_analysis.json
F,objective5_impairment_matrix_v1_condition_F_trial02_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,15.0,0.7,10.0,4002,14002,0.1519485791126714,0.011948579112671387,2,NOT_AVAILABLE,0.2319999999999986,NOT_AVAILABLE,False,0.0,24,24,0.03732503888024884,0.037037037037037035,SCHEDULED_OUTAGE,0.016575121156703714,0.017660256405448074,0.020000000000010232,0.020000000000010232,0,0,0,0,True,10,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,VERIFIED_WITH_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_F_trial02_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_F_trial02_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_F_trial02_attempt01_analysis/matrix_analysis.json
F,objective5_impairment_matrix_v1_condition_F_trial03_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,15.0,0.7,10.0,4003,14003,0.14662546676383612,0.006625466763836102,2,NOT_AVAILABLE,0.2566666666666668,NOT_AVAILABLE,False,0.0,20,22,0.044543429844097995,0.04835164835164835,SCHEDULED_OUTAGE,0.018041958027970845,0.017829099293301363,0.020000000000003126,0.020000000000003126,0,0,0,0,True,6,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,VERIFIED_WITH_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_F_trial03_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_F_trial03_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_F_trial03_attempt01_analysis/matrix_analysis.json
F,objective5_impairment_matrix_v1_condition_F_trial04_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,15.0,0.7,10.0,4004,14004,0.15101714185223786,0.011017141852237844,2,NOT_AVAILABLE,0.22199999999999848,NOT_AVAILABLE,False,0.0,30,30,0.046801872074883,0.04636785162287481,SCHEDULED_OUTAGE,0.017152209489360807,0.01721231765640106,0.020000000000003126,0.020000000000010232,0,0,0,0,True,10,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,VERIFIED_WITH_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_F_trial04_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_F_trial04_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_F_trial04_attempt01_analysis/matrix_analysis.json
F,objective5_impairment_matrix_v1_condition_F_trial05_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,15.0,0.7,10.0,4005,14005,0.14728944626764628,0.007289446267646271,2,NOT_AVAILABLE,0.2799999999999985,NOT_AVAILABLE,False,0.0,30,30,0.04672897196261682,0.046875,SCHEDULED_OUTAGE,0.01852941175326694,0.017836065565572812,0.020000000000006325,0.020000000000010232,0,0,0,0,True,10,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,VERIFIED_WITH_STANDALONE_MANIFEST,../objective5_impairment_matrix_v1_condition_F_trial05_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_F_trial05_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_F_trial05_attempt01_analysis/matrix_analysis.json
