time_s,x_m,y_m,yaw_rad,front_distance_m,left_distance_m,right_distance_m
46.797842002,-0.5150201916694641,-0.15964896976947784,-1.038946270942688,0.6560266613960266,inf,inf
46.898263347,-0.5117995142936707,-0.1645178645849228,-0.935272216796875,0.6916271448135376,inf,inf
47.002541689,-0.5078306198120117,-0.1692991554737091,-0.8227748274803162,0.7601631283760071,inf,inf
47.102835834,-0.5038737654685974,-0.1731538623571396,-0.7213066220283508,0.8432899713516235,inf,inf
47.208580175,-0.49929723143577576,-0.17677797377109528,-0.6176325678825378,0.9571259617805481,inf,inf
47.310017319,-0.4940376281738281,-0.1800871044397354,-0.5051352381706238,1.1508095264434814,inf,inf
47.412208263,-0.4886726438999176,-0.18269021809101105,-0.39704951643943787,1.3162825107574463,inf,inf
47.515769505,-0.48299944400787354,-0.18472139537334442,-0.2911696434020996,1.2805622816085815,inf,inf
47.617175048,-0.4769544005393982,-0.18616023659706116,-0.17867228388786316,1.2018104791641235,inf,inf
47.718485391,-0.47141703963279724,-0.18690824508666992,-0.09264489263296127,1.1725201606750488,inf,inf
47.822683032,-0.46565231680870056,-0.18728597462177277,-0.044116612523794174,1.1811649799346924,inf,inf
47.924507774,-0.45887255668640137,-0.1874665915966034,-0.013234984129667282,1.1606100797653198,inf,inf
48.025198818,-0.4499552547931671,-0.1875365525484085,-0.00441166153177619,1.1638003587722778,inf,inf
48.126157822,-0.4412260949611664,-0.18755295872688293,-0.002205830765888095,1.1484365463256836,inf,inf
48.227301941,-0.4322457015514374,-0.18755067884922028,-4.083539062449404e-15,1.1449910402297974,inf,inf
48.32946706,-0.423830509185791,-0.1875413954257965,-4.083539062449404e-15,1.137112021446228,inf,inf
48.432893279,-0.41453608870506287,-0.18753266334533691,-4.083539062449404e-15,1.1224510669708252,inf,inf
48.533911697,-0.40555572509765625,-0.1875247061252594,0.002205830765888095,1.1128976345062256,inf,inf
48.634910315,-0.3970777094364166,-0.18752102553844452,-4.083539062449404e-15,1.0981658697128296,inf,inf
48.740366633,-0.387532114982605,-0.18752379715442657,-4.083539062449404e-15,1.09223473072052,inf,inf
48.842470751,-0.37886571884155273,-0.1875271201133728,-4.083539062449404e-15,1.0826647281646729,inf,inf
48.942869368,-0.36982253193855286,-0.1875297576189041,-4.083539062449404e-15,1.0995283126831055,inf,inf
49.048784386,-0.3605281114578247,-0.18753252923488617,-4.083539062449404e-15,1.0759015083312988,inf,inf
49.150092604,-0.35148492455482483,-0.18753613531589508,-4.083539062449404e-15,1.0498112440109253,inf,inf
49.252018622,-0.3428185284137726,-0.18753917515277863,-4.083539062449404e-15,1.0570430755615234,inf,inf
49.354502839,-0.3337753415107727,-0.18754126131534576,-4.083539062449404e-15,1.0583109855651855,inf,inf
49.454933957,-0.32510891556739807,-0.1875433325767517,-4.083539062449404e-15,1.0340217351913452,inf,inf
49.557476573,-0.31612852215766907,-0.18754562735557556,-0.002205830765888095,1.0425902605056763,inf,inf
49.65816089,-0.3077133297920227,-0.18754367530345917,0.002205830765888095,1.0281065702438354,inf,inf
49.758564406,-0.2987329363822937,-0.18753904104232788,-4.083539062449404e-15,1.0170271396636963,inf,inf
49.860017622,-0.2896897494792938,-0.18754291534423828,-4.083539062449404e-15,0.9950437545776367,inf,inf
49.962665638,-0.2816513478755951,-0.187544584274292,-4.083539062449404e-15,0.9822703003883362,inf,inf
50.064258955,-0.272922158241272,-0.18754853308200836,-0.002205830765888095,0.9843904376029968,inf,inf
50.166009271,-0.2639417350292206,-0.18754707276821136,-4.083539062449404e-15,0.9668411612510681,inf,inf
50.268195187,-0.2546473443508148,-0.18753710389137268,-4.083539062449404e-15,0.967601478099823,inf,inf
50.371436604,-0.24535296857357025,-0.1875271201133728,-4.083539062449404e-15,0.9696517586708069,inf,inf
