relative_path,wsl_source_sha256,windows_copy_sha256,match
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/state_epuck3.log",1faf6ea14b387f46dc35826d9835852eaf32ddb83cbb914d2c62d153c23e871b,1faf6ea14b387f46dc35826d9835852eaf32ddb83cbb914d2c62d153c23e871b,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/task_completion_monitor.log",15069186f6558608c06e795ea03f08901f245253757538278519f5700a3e37ce,15069186f6558608c06e795ea03f08901f245253757538278519f5700a3e37ce,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/trial_verdict.json",e82af60f2f09cfd92fbcec3f6c42b3f65b04abd7a7e817b245b7d00fb3b0465d,e82af60f2f09cfd92fbcec3f6c42b3f65b04abd7a7e817b245b7d00fb3b0465d,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03/metadata.yaml",ebf05b71e68284f958367d9d97aef2d8d1c2001b497ccc3b75d0fc199759d2f8,ebf05b71e68284f958367d9d97aef2d8d1c2001b497ccc3b75d0fc199759d2f8,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03/shared_exit_n3_n3_exit_comm_off_trial04_attempt03_0.db3",dadb5b68205218b50bc4ea1386dd34019fbb11ee7a49dbd3a3fd065b507a46ea,dadb5b68205218b50bc4ea1386dd34019fbb11ee7a49dbd3a3fd065b507a46ea,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/bag_record.log",aa80a4abf5edcc219e9520e481fa609a46bad339839330a3e7b9ef347c7282ce,aa80a4abf5edcc219e9520e481fa609a46bad339839330a3e7b9ef347c7282ce,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/controller.log",0477429d965af0ac828e9ef7fd22705e51bd1ab4a23d850f2b378b4ad7c3a4e4,0477429d965af0ac828e9ef7fd22705e51bd1ab4a23d850f2b378b4ad7c3a4e4,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/execution.log",82401761a7f32f18adc37e35050fffe3abba94c70e97524eab2c9cc534e78992,82401761a7f32f18adc37e35050fffe3abba94c70e97524eab2c9cc534e78992,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/frozen_params_canonical_copy.json",5058e93409e50d922672fb3351f7c467a71f89821f698ce106da4449fadabb80,5058e93409e50d922672fb3351f7c467a71f89821f698ce106da4449fadabb80,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/goal_navigator_epuck1.log",88104635b10df122b6762d6792cbf1ab2b7f21c472039af1564a53280b85afc9,88104635b10df122b6762d6792cbf1ab2b7f21c472039af1564a53280b85afc9,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/goal_navigator_epuck2.log",2a4de0b49ca8ad5111e9a49b26a24247ee57228c22c6d5a734f157f344da7c07,2a4de0b49ca8ad5111e9a49b26a24247ee57228c22c6d5a734f157f344da7c07,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/goal_navigator_epuck3.log",b354114e9da280159cb4905b932129161b3558422e63fa921631b48aeab79c92,b354114e9da280159cb4905b932129161b3558422e63fa921631b48aeab79c92,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/monitor_verdict.json",1712ab2af923d2496ee6a4af6cfbea18c2389f2583cf5a56af61fd493cf4fac9,1712ab2af923d2496ee6a4af6cfbea18c2389f2583cf5a56af61fd493cf4fac9,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/simulation.log",d58aa6f885e231fce3b795b2b9aea9643254730f514e660e890b7a29c9121460,d58aa6f885e231fce3b795b2b9aea9643254730f514e660e890b7a29c9121460,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/state_epuck1.log",85623d8c1915f001dbaf0ab3dd0b34d0c1cc4f487e2712f23f7f7c999997c1da,85623d8c1915f001dbaf0ab3dd0b34d0c1cc4f487e2712f23f7f7c999997c1da,true
"shared_exit_n3_n3_exit_comm_off_trial04_attempt03_diag_logs/state_epuck2.log",28b396fe67576894a3fe60fa74a7a6686a610ee7f33704e836ab7b83eed317f2,28b396fe67576894a3fe60fa74a7a6686a610ee7f33704e836ab7b83eed317f2,true
