"relative_path","file_type","size_bytes","sha256"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial05_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","157d06e74e16c6d8b34077d3968b3415ae7cc47b4e17862f37e2c4adc65399ad"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial05_attempt01/bag/objective5_impairment_matrix_v1_condition_D_trial05_attempt01_0.db3","rosbag2_sqlite3","380928","92f8f4dd0879e00375ea3234b7a0b0acaefd855b4d180b12cbb834019517851c"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial06_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","cf94d81ea661f9768836a4caf072854c3589dc87b8d374ce96832c63b2b4bcb4"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial06_attempt01/bag/objective5_impairment_matrix_v1_condition_D_trial06_attempt01_0.db3","rosbag2_sqlite3","380928","2eb7e2f71b7e8757e49bc968f67c6a535a4fc1734a74301a21b98839ffcb307d"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial01_attempt01/metadata.yaml","rosbag2_metadata","4524","4192ea62e9aa4ee0e6ad8f3fa9fc0fd51a77804a1d4824f79d68df05a0de9775"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial01_attempt01/objective5_impairment_matrix_v1_condition_E_trial01_attempt01_0.db3","rosbag2_sqlite3","360448","11053702ea17c6e66d700689ece39f6f6f8854bb75be10a48619585abec39c37"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial02_attempt01/metadata.yaml","rosbag2_metadata","4524","66e11a6a014e14909adb459071da2001d04cb10f4efd365696251d2fbddad113"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial02_attempt01/objective5_impairment_matrix_v1_condition_E_trial02_attempt01_0.db3","rosbag2_sqlite3","372736","efb2e68ace67b89d736c10f8faae128f328001df7b0fd0631683d9f853605e5b"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial03_attempt01/metadata.yaml","rosbag2_metadata","4524","28c2e76c88afe4737b816ac8e5cf400893c972cf7576cf39d1885204fbdfaeaf"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial03_attempt01/objective5_impairment_matrix_v1_condition_E_trial03_attempt01_0.db3","rosbag2_sqlite3","368640","f7b16cac30f40de7e950dc815a39dd4be07490faf98fce713e481a8cc3f20f64"
